id,"frame","x [nm]","y [nm]","z [nm]"
156,9,6489.969370,7130.441932,0
157,9,6725.078837,8887.642226,0
158,9,6915.282755,9849.064495,0
159,9,6937.818868,3215.315159,0
160,9,6973.433340,8380.379523,0
161,9,8064.486864,6757.741697,0
162,9,8127.539074,7686.935773,0
163,9,8441.387464,9213.242880,0
164,9,9072.993689,7740.807694,0
165,9,9170.559845,2881.040219,0
166,9,9330.549383,955.481264,0
167,9,10014.464897,6716.565858,0
168,10,-136.292344,9408.944690,0
169,10,279.033927,57.248411,0
170,10,495.132821,5171.565336,0
171,10,789.349294,8437.857985,0
172,10,1696.027873,3187.079764,0
173,10,2662.564836,6864.370000,0
174,10,3153.290646,4616.123263,0
175,10,3896.123894,7208.815406,0
176,10,4044.876361,5830.623647,0
177,10,4426.701955,6245.967502,0
178,10,5019.879969,9278.702747,0
179,10,7098.717985,3951.339305,0
180,10,7120.548407,8702.043284,0
181,10,8429.421601,10144.563795,0
182,10,9329.563628,9912.137277,0
183,11,-923.293114,1458.393212,0
184,11,610.864191,8597.936784,0
185,11,1609.343248,3049.948704,0
186,11,2279.825283,8339.261737,0
187,11,3853.237313,5237.544385,0
188,11,3958.948350,7376.339206,0
189,11,5320.651783,8304.181141,0
190,11,6545.759806,9950.041203,0
191,11,6659.173110,7406.923769,0
192,11,8217.707708,4506.557664,0
193,11,8787.771035,2125.672047,0
194,11,9194.518871,-504.053818,0
195,11,9566.419186,2063.956525,0
196,11,10857.072132,4666.102115,0
197,12,-1100.643440,5129.383497,0
198,12,133.032883,7494.533095,0
199,12,372.013182,1908.929053,0
200,12,444.738868,5047.080662,0
201,12,997.021704,8757.321955,0
202,12,1410.677558,3208.422464,0
203,12,2278.886945,9836.314804,0
204,12,3221.599067,8349.578805,0
205,12,4285.414249,6301.655202,0
206,12,4343.415007,787.758039,0
207,12,5153.268786,-618.076275,0
208,12,5528.260324,2895.820135,0
209,12,7118.479509,9672.590240,0
210,12,7149.419591,8683.049742,0
211,12,7347.667594,5144.057960,0
212,12,7677.998139,9852.982471,0
213,12,8841.175811,10380.428098,0
214,12,8982.842242,2186.296559,0
215,13,-93.668166,6172.174513,0
216,13,701.003671,1903.011424,0
217,13,704.292373,8051.475991,0
218,13,1580.075517,3076.144136,0
219,13,1642.957203,11124.659488,0
220,13,1878.409379,9290.813967,0
221,13,2325.832639,9903.837902,0
222,13,2625.069110,8912.205369,0
223,13,2883.199135,589.936386,0
224,13,4246.760845,5493.566474,0
225,13,5311.340723,8816.820212,0
226,13,6793.488116,9453.631522,0
227,13,6903.392099,2747.532972,0
228,13,7090.381141,1686.547734,0
229,13,7966.632815,4660.591972,0
230,13,8760.014230,5161.788233,0
231,13,8921.075633,2275.957026,0
232,13,10664.235104,2129.388732,0
233,13,10883.345062,11082.835820,0
234,14,-973.962836,281.639314,0
235,14,-303.212215,1242.390004,0
236,14,-0.800872,5448.393957,0
237,14,81.940736,6151.034418,0
238,14,649.737849,2260.023632,0
239,14,818.387408,3147.608828,0
240,14,1585.332489,426.422892,0
241,14,1961.723526,2345.582585,0
242,14,2292.191804,4507.039805,0
243,14,2298.852590,5006.380961,0
244,14,2720.355180,6562.214947,0
245,14,2745.448013,621.197442,0
246,14,3113.708277,6891.762250,0
247,14,3269.472733,8123.754709,0
248,14,3505.743674,-326.988239,0
249,14,3774.371381,2256.983727,0
250,14,4253.690278,658.433830,0
251,14,4262.096520,5348.488522,0
252,14,5344.842687,2320.850479,0
253,14,6826.519746,8612.500094,0
254,14,7254.959452,2857.898693,0
